Home Team,Away Team,HT Score,AT Score
Newcastle,West Ham,0,2
Southampton,Liverpool,2,3
Ipswich,Man Utd,1,1
Leicester,Chelsea,1,2
Arsenal,Nottingham Forest,3,0
Aston Villa,Crystal Palace,2,2
Bournemouth,Brighton,1,2
Everton,Brentford,0,0
Fulham,Wolves,1,4
Man City,Tottenham,0,4
Man Utd,Leicester,3,0
Nottingham Forest,Newcastle,1,3
Tottenham,Ipswich,1,2
Chelsea,Arsenal,1,1
Brentford,Bournemouth,3,2
Crystal Palace,Fulham,0,2
West Ham,Everton,0,0
Wolves,Southampton,2,0
Brighton,Man City,2,1
Liverpool,Aston Villa,2,0
Fulham,Brentford,2,1
Tottenham,Aston Villa,4,1
Man Utd,Chelsea,1,1
Newcastle,Arsenal,1,0
Bournemouth,Man City,2,1
Ipswich,Leicester,1,1
Liverpool,Brighton,2,1
Nottingham Forest,West Ham,3,0
Southampton,Everton,1,0
Wolves,Crystal Palace,2,2
Chelsea,Newcastle,2,1
Crystal Palace,Tottenham,1,0
West Ham,Man Utd,2,1
Arsenal,Liverpool,2,2
Aston Villa,Bournemouth,1,1
Brentford,Ipswich,4,3
Brighton,Wolves,2,2
Man City,Southampton,1,0
Everton,Fulham,1,1
Leicester,Nottingham Forest,1,3
Nottingham Forest,Crystal Palace,1,0
Wolves,Man City,1,2
Liverpool,Chelsea,2,1
Tottenham,West Ham,4,1
Fulham,Aston Villa,1,3
Man Utd,Brentford,2,1
Newcastle,Brighton,0,1
Southampton,Leicester,2,3
Ipswich,Everton,0,2
Bournemouth,Arsenal,2,0
Aston Villa,Man Utd,0,0
Chelsea,Nottingham Forest,1,1
Brighton,Tottenham,3,2
Crystal Palace,Liverpool,0,1
Arsenal,Southampton,3,1
Brentford,Wolves,5,3
Leicester,Bournemouth,1,0
Man City,Fulham,3,2
West Ham,Ipswich,4,1
Everton,Newcastle,0,0
Bournemouth,Southampton,3,1
Ipswich,Aston Villa,2,2
Man Utd,Tottenham,0,3
Newcastle,Man City,1,1
Arsenal,Leicester,4,2
Brentford,West Ham,1,1
Chelsea,Brighton,4,2
Everton,Crystal Palace,2,1
Nottingham Forest,Fulham,0,1
Wolves,Liverpool,1,2
Brighton,Nottingham Forest,2,2
Man City,Arsenal,2,2
West Ham,Chelsea,0,3
Aston Villa,Wolves,3,1
Fulham,Newcastle,3,1
Leicester,Everton,1,1
Liverpool,Bournemouth,3,0
Southampton,Ipswich,1,1
Tottenham,Brentford,3,1
Crystal Palace,Man Utd,0,0
Tottenham,Arsenal,0,1
Wolves,Newcastle,1,2
Southampton,Man Utd,0,3
Brighton,Ipswich,0,0
Crystal Palace,Leicester,2,2
Fulham,West Ham,1,1
Liverpool,Nottingham Forest,0,1
Man City,Brentford,2,1
Aston Villa,Everton,3,2
Bournemouth,Chelsea,0,1
Chelsea,Crystal Palace,1,1
Newcastle,Tottenham,2,1
Man Utd,Liverpool,0,3
Arsenal,Brighton,1,1
Brentford,Southampton,3,1
Everton,Bournemouth,2,3
Ipswich,Fulham,1,1
Leicester,Aston Villa,1,2
Nottingham Forest,Wolves,1,1
West Ham,Man City,1,3
Bournemouth,Newcastle,1,1
Wolves,Chelsea,2,6
Liverpool,Brentford,2,0
Brighton,Man Utd,2,1
Crystal Palace,West Ham,0,2
Fulham,Leicester,2,1
Man City,Ipswich,4,1
Southampton,Nottingham Forest,0,1
Tottenham,Everton,4,0
Aston Villa,Arsenal,0,2
Leicester,Tottenham,1,1
Brentford,Crystal Palace,2,1
Chelsea,Man City,0,2
Ipswich,Liverpool,0,2
Arsenal,Wolves,2,0
Everton,Brighton,0,3
Newcastle,Southampton,1,0
Nottingham Forest,Bournemouth,1,1
West Ham,Aston Villa,1,2
Man Utd,Fulham,1,0
